avg_salary_k,Location,job_state,Industry,Sector,Revenue,Size,Type of ownership,company_clean,Rating,age,num_comp,seniority,desc_len,python_yn,R_yn,spark,aws,excel,skill_sql,skill_tableau,skill_power_bi,skill_hadoop,skill_azure,skill_tensorflow,skill_pytorch,skill_machine_learning,skill_deep_learning
76.0,"Maryland Heights, MO",MO,Research & Development,Business Services,$50 to $100 million (USD),501 to 1000 employees,Subsidiary or Business Segment,EAG Laboratories,2.7,42,0,na,2653,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112.0,"Charlottesville, VA",VA,IT Services,Information Technology,$100 to $500 million (USD),501 to 1000 employees,Company - Private,The Buffalo Group,3.9,10,3,senior,4427,1,0,1,0,0,1,0,0,1,0,0,0,1,0
98.0,"Pittsburgh, PA",PA,Mining,Mining & Metals,$1 to $2 billion (USD),1001 to 5000 employees,Company - Private,Carmeuse,3.1,160,3,na,2609,1,0,0,0,0,0,0,0,0,1,0,0,1,0
128.0,"Vancouver, WA",WA,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,10000+ employees,Company - Public,HP Inc.,4.0,81,0,senior,4295,0,0,1,1,0,1,0,0,0,0,1,0,1,1
150.5,"Mountain View, CA",CA,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,201 to 500 employees,Company - Private,h2o.ai,4.3,9,0,na,3405,1,0,1,1,1,0,0,0,1,1,1,0,1,1
87.5,"Cambridge, MA",MA,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),51 to 200 employees,Company - Private,GNS Healthcare,1.9,20,0,na,5153,0,0,0,1,0,0,0,0,0,0,0,0,1,0
110.0,"Chantilly, VA",VA,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),1001 to 5000 employees,Company - Private,Peraton,3.3,3,0,na,3381,1,0,0,0,1,0,0,0,1,0,0,0,1,0
113.5,"San Jose, CA",CA,IT Services,Information Technology,$500 million to $1 billion (USD),10000+ employees,Company - Private,Pactera,4.4,25,3,na,879,1,0,0,0,1,0,0,0,0,0,0,0,1,1
124.0,"San Francisco, CA",CA,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),51 to 200 employees,Company - Private,Nurx,3.9,4,0,na,4189,1,0,0,0,0,1,0,0,0,0,0,0,1,0
56.5,"Harrisburg, PA",PA,Advertising & Marketing,Business Services,$25 to $50 million (USD),201 to 500 employees,Company - Private,webfx.com,4.7,23,0,jr,4424,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130.0,"Laurel, MD",MD,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),5001 to 10000 employees,Nonprofit Organization,Johns Hopkins University Applied Physics Laboratory,4.5,78,3,na,2996,1,0,0,0,1,0,0,0,0,0,0,0,1,1
77.5,"Chicago, IL",IL,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),51 to 200 employees,Company - Private,Productive Edge,4.3,12,3,na,3682,0,0,0,0,1,1,0,0,0,0,0,0,1,0
87.0,"Arlington, VA",VA,Consulting,Business Services,$50 to $100 million (USD),201 to 500 employees,Company - Private,Excella Consulting,4.0,18,0,na,3819,1,0,0,1,1,1,0,0,0,0,0,0,0,0
53.5,"Tacoma, WA",WA,Wholesale,Business Services,$100 to $500 million (USD),501 to 1000 employees,Company - Private,Gensco,4.4,72,0,na,1791,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139.0,"Plano, TX",TX,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),10000+ employees,Company - Public,Walmart,3.2,58,3,na,3934,0,0,0,0,0,1,0,0,1,0,0,0,0,0
114.0,"San Jose, CA",CA,Consulting,Business Services,$25 to $50 million (USD),201 to 500 employees,Company - Private,Logic20/20,3.8,15,0,na,3804,1,0,1,1,1,1,0,0,0,0,1,1,1,0
85.5,"Miami, FL",FL,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),501 to 1000 employees,Company - Private,goTRG,4.2,12,0,na,3204,1,0,1,0,1,1,0,0,1,0,0,0,1,0
48.0,"Huntsville, AL",AL,IT Services,Information Technology,$25 to $50 million (USD),51 to 200 employees,Company - Private,NMR Consulting,4.5,24,0,na,2253,0,0,0,0,1,1,0,0,1,0,0,0,0,0
48.0,"New Orleans, LA",LA,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,51 to 200 employees,Company - Private,iSeatz,3.5,21,0,na,2772,0,0,0,0,1,1,0,0,0,0,0,0,0,0
174.0,"San Francisco, CA",CA,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),201 to 500 employees,Company - Public,Nektar Therapeutics,3.5,30,3,senior,4751,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85.0,"Atlanta, GA",GA,Financial Analytics & Research,Finance,$1 to $2 billion (USD),5001 to 10000 employees,Company - Public,TransUnion,3.9,52,0,na,2380,1,0,1,0,0,1,0,0,0,0,0,0,1,0
106.5,"Landover, MD",MD,IT Services,Information Technology,$10 to $25 million (USD),51 to 200 employees,Company - Private,IT Concepts,4.7,17,0,na,2723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72.5,"Patuxent River, MD",MD,IT Services,Information Technology,$100 to $500 million (USD),1001 to 5000 employees,Company - Private,Scientific Research Corporation,4.2,32,0,na,2337,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85.5,"Suitland, MD",MD,IT Services,Information Technology,$10+ billion (USD),10000+ employees,Subsidiary or Business Segment,General Dynamics Information Technology,3.4,24,3,na,4088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.5,"McLean, VA",VA,Federal Agencies,Government,$1 to $2 billion (USD),5001 to 10000 employees,Nonprofit Organization,MITRE,3.2,62,3,na,5342,1,0,0,0,1,1,1,1,0,0,0,0,0,0
99.0,"Fort Belvoir, VA",VA,IT Services,Information Technology,$100 to $500 million (USD),501 to 1000 employees,Company - Private,The Buffalo Group,3.9,10,3,na,2588,1,0,0,0,1,0,1,0,0,0,0,0,0,0
56.5,"Milwaukee, WI",WI,Insurance Carriers,Insurance,$2 to $5 billion (USD),1001 to 5000 employees,Company - Private,DentaQuest,3.1,19,3,na,4203,0,0,0,0,1,1,0,0,0,0,0,0,0,0
133.0,"Silver Spring, MD",MD,IT Services,Information Technology,Unknown / Non-Applicable,1 to 50 employees,Company - Private,Redjack,4.1,13,0,senior,5467,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121.0,"New York, NY",NY,Research & Development,Business Services,Unknown / Non-Applicable,51 to 200 employees,Company - Private,7Park Data,3.8,8,0,na,3443,1,0,1,0,0,0,0,0,0,0,1,1,1,0
85.5,"Syracuse, NY",NY,Security Services,Business Services,Unknown / Non-Applicable,501 to 1000 employees,Company - Private,Rapid Response Monitoring,4.7,28,3,na,3316,1,0,0,0,0,1,0,0,0,0,0,0,0,0
87.5,"Houston, TX",TX,Education Training Services,Education,Unknown / Non-Applicable,1001 to 5000 employees,Subsidiary or Business Segment,Trilogy Ed,4.3,5,3,na,3717,1,0,0,0,0,1,0,0,0,0,1,0,1,0
237.5,"Washington, DC",DC,Consulting,Business Services,Unknown / Non-Applicable,1001 to 5000 employees,Company - Private,Gallup,4.2,85,3,senior,3301,1,0,0,0,1,0,0,0,0,0,0,0,1,0
95.5,"Charlotte, NC",NC,IT Services,Information Technology,$100 to $500 million (USD),1001 to 5000 employees,Company - Private,CapTech,3.9,23,3,na,5483,1,0,1,0,0,1,1,0,0,0,0,0,0,0
104.5,"Southfield, MI",MI,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),10000+ employees,Company - Public,American Axle & Manufacturing,3.3,26,0,senior,4753,1,0,1,1,1,1,0,1,0,0,0,0,1,0
56.5,"Matawan, NJ",NJ,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,201 to 500 employees,Company - Private,CentralReach,4.7,8,3,na,5609,0,0,0,0,1,1,1,0,0,0,0,0,0,0
55.0,"Phoenix, AZ",AZ,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),201 to 500 employees,Company - Private,Integrate,4.3,10,0,senior,3209,0,0,0,0,1,1,0,1,0,1,0,0,0,0
61.5,"Omaha, NE",NE,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,1001 to 5000 employees,Hospital,Boys Town Hospital,2.9,43,3,na,4917,0,0,0,0,1,0,0,0,0,0,0,0,0,0
157.0,"San Francisco, CA",CA,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),201 to 500 employees,Company - Private,Demandbase,4.5,14,3,na,5139,0,0,1,1,0,0,0,0,0,0,0,0,1,0
78.0,"Lyndhurst, NJ",NJ,Internet,Information Technology,Unknown / Non-Applicable,201 to 500 employees,Company - Private,Sapphire Digital,3.4,1,2,na,2232,1,0,0,0,0,1,0,0,0,0,0,0,0,0
113.5,"Cambridge, MA",MA,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),10000+ employees,Company - Public,Takeda Pharmaceuticals,3.7,239,3,na,3731,1,0,1,0,0,1,0,0,0,0,1,0,1,1
140.0,"New York, NY",NY,Internet,Information Technology,$100 to $500 million (USD),51 to 200 employees,Company - Private,<intent>,4.6,11,2,na,4574,1,0,1,0,0,0,0,0,0,0,0,0,1,0
132.5,"San Francisco, CA",CA,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,51 to 200 employees,Company - Private,Formation,3.2,5,0,na,3158,0,0,1,0,1,0,0,0,0,0,1,0,1,0
108.0,"San Francisco, CA",CA,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),5001 to 10000 employees,Company - Public,Autodesk,4.0,38,0,na,3443,1,0,1,0,0,1,0,0,1,0,0,0,0,0
80.5,"Atlanta, IN",IN,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),501 to 1000 employees,Company - Private,Beck's Hybrids,4.6,83,0,na,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107.5,"Rockville, MD",MD,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,201 to 500 employees,Company - Private,DrFirst,2.8,20,0,na,3899,1,0,0,0,0,0,0,0,0,0,0,0,1,0
95.0,"Minneapolis, MN",MN,Consulting,Business Services,$25 to $50 million (USD),51 to 200 employees,Company - Private,Object Partners,4.7,24,2,na,2896,0,0,1,1,0,1,0,0,1,1,0,0,0,0
119.5,"Los Angeles, CA",CA,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,1001 to 5000 employees,Nonprofit Organization,L.A. Care Health Plan,3.0,23,3,na,3947,1,0,1,0,0,1,1,0,0,0,0,0,1,1
134.0,"Charlotte, NC",NC,Advertising & Marketing,Business Services,$1 to $2 billion (USD),1001 to 5000 employees,Company - Private,Red Ventures,3.2,20,3,senior,2620,0,0,1,1,0,1,0,0,0,0,0,0,0,0
100.5,"Cambridge, MA",MA,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,201 to 500 employees,Company - Private,Quick Base,4.4,21,0,na,4188,1,0,0,0,1,1,1,1,0,0,0,0,1,0
107.5,"Cincinnati, OH",OH,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),1001 to 5000 employees,Company - Public,The E.W. Scripps Company,3.5,142,0,na,7231,1,0,0,0,0,1,1,0,0,0,0,0,0,0
